,lang,en_lang,lang_en
0,ig,Ọgụ a na-eti maka ikpe ziri ezi agwụla - ọtụtụ na-ewute ndị ọchịchị. ,The battle for justice is over - many are upset with the authorities. 
1,ig,Mkpebi nke ọchịchị na-ekwupụta ebumnuche kpatara ya. ,The government’s decision articulates the underlying motive. 
2,ig,Ndị obodo ahụ nwere nchegbu maka ịgafe mgbanwe ndị achọrọ dị ukwuu. ,The community is concerned about going through the much-needed changes. 
3,ig,Lọ ọrụ ahụ chepụtara akwụkwọ na-akọwa mgbaghara ha maka ntaramahụhụ ọnwụ. ,The employer devised a document explaining their apology for the death penalty. 
4,ig,Enweghị ihe ọ bụla nke nkwado nke arịrịọ ahụ ,There was no support for the request 
5,ig,Onye isi oche ahụ gbara ndị ozi ya ume ka ha gbachi nkịtị dị ka onye na-akwado nkwado mmegide maka atụmatụ akụ na ụba ya na-achọ ikechi. ,The president urged his ministers to remain silent as a pro-opposition advocate for his economic plans seeks to close. 
6,ig,Ndị juru vootu ahụ hụrụ ka ụgwọ a gafere. ,The voters saw the bill passed. 
7,ig,Nkwupụta okwu a nke ọkàiwu gbanwere ndị juri ahụ. ,The prosecutor's statement changed the jury. 
8,ig,ụlọ ikpe nyere iwu ka e mee ihe ike! ,court orders violence! 
9,ig,Ihe mgbochi EU megidere nnabata mgbochi mgbochi. ,EU sanctions violate EU sanctions. 
10,ig,Ndụmọdụ aghụghọ ahụ nyere ha otuto zuru oke. ,The deceptive advice gave them complete praise. 
11,ig,Agencylọ ọrụ gig-akụ na ụba kpebiri ịkwalite nkwụghachi! ,The gig-economy company has decided to promote a rebate! 
12,ig,Ndị so n’òtù ndị na-emegide ọchịchị ọchịchị Chineke kwaturu ndị ọgbọ ha nọ n’ọchịchị! ,Opposition groups called for a boycott of the assembly. 
13,ig,Ndị aghụghọ ahụ jiri nkụda mmụọ kpebiri ịlụ ọgụ na ndị colonialist. ,"Frustrated, the conspirators decided to fight the colonialists. "
