,Language,En2Language,Language2En
0,Afrikaans,Die hof beveel die geweld! ,The court orders the violence! 
1,Albanian,Gjykata urdhëroi dhunën! ,The court ordered the violence! 
2,Amharic,ፍርድ ቤቱ አመፁን አዘዘ! ,The court ordered the protest! 
3,Arabic,أمرت المحكمة بالعنف! ,Court ordered violence! 
4,Armenian,Դատարանը պատվիրեց բռնությունը: ,The court ordered the violence. 
5,Azerbaijani,Məhkəmə şiddəti əmr etdi! ,The court ordered violence! 
6,Basque,Auzitegiak indarkeria agindu zuen! ,The court ordered violence! 
7,Belarusian,Суд прызначыў гвалт! ,The court ordered violence! 
8,Bengali,আদালত সহিংসতার নির্দেশ দিয়েছে! ,Court orders violence! 
9,Bosnian,Sud je naredio nasilje! ,The court ordered violence! 
10,Bulgarian,Съдът нареди насилието! ,The court ordered the violence! 
11,Catalan,El tribunal va ordenar la violència! ,The court ordered the violence! 
12,Cebuano,Gisugo sa korte ang kapintas! ,The court ordered the violence! 
13,Chinese_Simplified,法院禁止暴力！ ,The court prohibits violence! 
14,Chinese_Traditional,法院禁止暴力！ ,The court prohibits violence! 
15,Corsican,U tribunale hà urdinatu a viulenza! ,The court ordered the violence! 
16,Croatian,Sud je naredio nasilje! ,The court ordered violence! 
17,Czech,Soud nařídil násilí! ,The court ordered violence! 
18,Danish,Retten pålagde volden! ,The court imposed the violence! 
19,Dutch,De rechtbank beval het geweld! ,The court ordered the violence! 
20,English,The court enjoined the violence! ,The court enjoined the violence! 
21,Esperanto,La kortumo ordonis la perforton! ,The court ordered the violence! 
22,Estonian,Kohus määras vägivalla välja! ,The court ordered the violence! 
23,Finnish,Tuomioistuin määräsi väkivallan! ,The court ordered the violence! 
24,French,Le tribunal a ordonné la violence! ,The court ordered violence! 
25,Frisian,De rjochtbank joech it geweld oan! ,The court ordered the violence! 
26,Galician,O xulgado impuxo a violencia! ,The court imposed violence! 
27,Georgian,სასამართლომ დააკისრა ძალადობა! ,The court ordered the violence! 
28,German,Das Gericht hat die Gewalt vorgeschrieben! ,The court prescribed the violence! 
29,Greek,Το δικαστήριο διέταξε τη βία! ,The court ordered the violence! 
30,Gujarati,કોર્ટે હિંસાનો આદેશ આપ્યો! ,Court orders violence! 
31,Haitian Creole,Tribinal la mande vyolans lan! ,The court demanded the violence! 
